subscribed,age,job,marital,education,default,housing,loan,contact_method,month,num_camp_contacts,days_since_last_contact,num_prev_contacts,prev_outcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,duration,day_of_week
1,50,blue-collar,married,basic.4y,0,0,1,1,7,1,0,0,0,1.4,93.918,-42.7,4.961,5228.1,849,tue
0,55,services,married,basic.6y,N,1,0,1,7,6,0,0,0,1.4,93.918,-42.7,4.962,5228.1,326,tue
1,39,technician,divorced,high.school,0,0,0,1,3,1,12,2,1,-1.8,93.369,-34.8,0.639,5008.7,222,mon
0,29,technician,single,university.degree,0,1,1,1,8,3,0,0,0,1.4,93.444,-36.1,4.967,5228.1,626,wed
0,40,management,married,high.school,0,0,1,1,8,1,0,0,0,1.4,93.444,-36.1,4.965,5228.1,119,wed
0,44,technician,married,professional.course,N,1,0,2,5,7,0,0,0,1.1,93.994,-36.4,4.864,5191,388,fri
1,38,technician,married,professional.course,0,1,0,1,8,1,0,0,0,1.4,93.444,-36.1,4.965,5228.1,479,mon
0,36,technician,divorced,professional.course,0,0,0,2,5,1,0,0,0,1.1,93.994,-36.4,4.856,5191,446,wed
0,28,blue-collar,married,basic.6y,N,0,0,1,5,2,0,1,2,-1.8,92.893,-46.2,1.299,5099.1,68,mon
0,47,admin.,single,N/A,N,0,0,2,5,1,0,0,0,1.1,93.994,-36.4,4.86,5191,127,thu
0,34,admin.,married,university.degree,0,0,0,1,8,1,0,0,0,1.4,93.444,-36.1,4.963,5228.1,109,tue
0,38,technician,married,university.degree,0,1,1,1,3,1,0,1,2,-1.8,92.843,-50,1.687,5099.1,113,tue
0,33,services,married,high.school,N,1,0,2,6,3,0,0,0,1.4,94.465,-41.8,4.865,5228.1,393,mon
0,51,technician,single,university.degree,0,0,0,1,6,2,0,0,0,-2.9,92.963,-40.8,1.268,5076.2,151,fri
0,30,blue-collar,single,basic.4y,N,1,0,2,6,1,0,0,0,1.4,94.465,-41.8,4.864,5228.1,256,tue
0,48,technician,married,university.degree,0,0,0,1,8,7,0,0,0,1.4,93.444,-36.1,4.962,5228.1,42,thu
0,28,blue-collar,single,basic.9y,0,1,0,2,6,1,0,0,0,1.4,94.465,-41.8,4.864,5228.1,525,wed
0,36,blue-collar,married,basic.6y,0,1,0,2,5,1,0,0,0,1.1,93.994,-36.4,4.859,5191,57,wed
0,46,management,divorced,high.school,0,0,0,1,11,1,0,0,0,-0.1,93.2,-42,4.12,5195.8,499,wed
0,31,technician,single,N/A,0,1,0,1,5,1,0,1,2,-1.8,92.893,-46.2,1.334,5099.1,84,wed
0,20,student,single,N/A,0,0,0,1,10,3,0,3,2,-1.1,94.601,-49.5,0.977,4963.6,137,mon
0,35,services,married,high.school,N,1,0,1,5,1,0,0,0,-1.8,92.893,-46.2,1.344,5099.1,31,tue
0,38,blue-collar,married,basic.9y,N,N,N,2,6,1,0,0,0,1.4,94.465,-41.8,4.967,5228.1,430,fri
0,76,retired,married,university.degree,0,0,0,1,8,1,0,1,2,-1.7,94.027,-38.3,0.899,4991.6,126,thu
0,45,entrepreneur,divorced,professional.course,0,1,0,1,7,3,0,0,0,1.4,93.918,-42.7,4.961,5228.1,211,tue
0,32,housemaid,married,basic.4y,0,1,1,1,5,1,0,0,0,-1.8,92.893,-46.2,1.313,5099.1,340,fri
0,39,management,single,university.degree,N,0,0,1,5,2,0,0,0,-1.8,92.893,-46.2,1.327,5099.1,412,thu
0,32,admin.,married,university.degree,0,0,0,2,11,1,0,0,0,-0.1,93.2,-42,4.592,5195.8,132,thu
0,29,admin.,single,basic.9y,0,0,0,1,5,2,0,0,0,-1.8,92.893,-46.2,1.299,5099.1,79,mon
0,44,services,married,professional.course,0,0,0,1,8,2,0,0,0,1.4,93.444,-36.1,4.97,5228.1,341,mon
0,32,services,married,high.school,0,0,1,1,7,3,0,0,0,1.4,93.918,-42.7,4.957,5228.1,157,fri
0,56,retired,married,university.degree,0,1,0,1,6,1,0,2,2,-2.9,92.963,-40.8,1.26,5076.2,252,wed
0,33,blue-collar,married,basic.9y,0,1,0,1,5,1,0,0,0,-1.8,92.893,-46.2,1.327,5099.1,263,thu
0,39,management,married,high.school,0,0,0,1,8,3,0,0,0,1.4,93.444,-36.1,4.966,5228.1,215,fri
1,24,technician,married,university.degree,0,1,1,1,9,2,3,1,1,-3.4,92.379,-29.8,0.77,5017.5,89,tue
0,33,admin.,single,university.degree,0,1,0,1,5,1,0,0,0,-1.8,92.893,-46.2,1.327,5099.1,143,thu
0,58,entrepreneur,divorced,university.degree,0,0,0,2,6,2,0,0,0,1.4,94.465,-41.8,4.866,5228.1,40,thu
0,29,admin.,single,university.degree,0,1,0,2,6,27,0,0,0,1.4,94.465,-41.8,4.959,5228.1,10,fri
0,31,admin.,married,university.degree,0,1,0,1,8,1,0,0,0,1.4,93.444,-36.1,4.964,5228.1,113,thu
0,27,admin.,married,university.degree,0,0,0,2,5,5,0,0,0,1.1,93.994,-36.4,4.857,5191,191,wed
1,60,admin.,divorced,professional.course,0,1,0,1,9,1,0,1,2,-1.1,94.199,-37.5,0.886,4963.6,481,wed
0,55,entrepreneur,married,professional.course,0,1,1,1,10,1,0,2,2,-3.4,92.431,-26.9,0.739,5017.5,233,mon
0,37,blue-collar,married,basic.9y,0,1,0,1,5,2,0,0,0,-1.8,92.893,-46.2,1.334,5099.1,204,wed
1,52,admin.,married,N/A,0,1,0,2,4,1,6,1,1,-1.8,93.749,-34.6,0.654,5008.7,403,wed
0,46,services,married,high.school,0,1,0,1,4,1,0,0,0,-1.8,93.075,-47.1,1.405,5099.1,180,mon
0,42,blue-collar,divorced,basic.6y,0,1,0,1,5,2,0,0,0,-1.8,92.893,-46.2,1.281,5099.1,16,wed
0,35,admin.,single,university.degree,0,1,0,1,7,3,0,0,0,1.4,93.918,-42.7,4.96,5228.1,447,mon
0,49,technician,divorced,N/A,0,1,1,1,10,1,0,0,0,-3.4,92.431,-26.9,0.754,5017.5,81,thu
0,29,services,divorced,high.school,0,0,1,2,6,3,0,0,0,1.4,94.465,-41.8,4.865,5228.1,361,mon
1,32,blue-collar,married,basic.9y,0,0,0,1,11,2,5,1,1,-0.1,93.2,-42,4.191,5195.8,1091,mon
0,37,self-employed,married,university.degree,0,0,0,1,5,1,0,1,2,-1.8,92.893,-46.2,1.313,5099.1,395,fri
1,39,technician,single,professional.course,N,0,0,2,6,4,0,0,0,1.4,94.465,-41.8,4.865,5228.1,432,mon
1,51,services,married,high.school,N,1,0,2,7,3,0,0,0,1.4,93.918,-42.7,4.962,5228.1,596,mon
0,28,admin.,single,high.school,0,1,0,1,5,3,0,0,0,-1.8,92.893,-46.2,1.291,5099.1,59,tue
0,34,management,married,university.degree,0,1,0,1,5,4,0,0,0,-1.8,92.893,-46.2,1.281,5099.1,77,wed
1,31,technician,single,high.school,0,1,1,1,8,1,0,0,0,1.4,93.444,-36.1,4.966,5228.1,768,tue
0,31,admin.,married,university.degree,0,1,0,1,8,5,0,0,0,1.4,93.444,-36.1,4.962,5228.1,96,thu
0,31,admin.,single,university.degree,0,1,0,2,6,2,0,0,0,1.4,94.465,-41.8,4.864,5228.1,357,wed
0,38,self-employed,single,university.degree,0,0,0,2,5,2,0,0,0,1.1,93.994,-36.4,4.855,5191,459,thu
0,33,unemployed,married,basic.9y,0,0,0,2,6,6,0,0,0,1.4,94.465,-41.8,4.959,5228.1,11,fri
0,32,technician,single,university.degree,0,0,0,1,8,12,0,0,0,1.4,93.444,-36.1,4.966,5228.1,264,tue
0,54,technician,married,professional.course,N,1,0,1,4,1,0,0,0,-1.8,93.075,-47.1,1.405,5099.1,698,mon
0,41,admin.,divorced,high.school,0,1,0,2,6,2,0,0,0,1.4,94.465,-41.8,4.961,5228.1,204,tue
0,59,services,married,basic.4y,N,0,0,1,8,7,0,0,0,1.4,93.444,-36.1,4.963,5228.1,93,thu
0,57,retired,married,university.degree,0,1,0,1,4,1,2,1,1,-1.8,93.075,-47.1,1.365,5099.1,374,thu
0,38,entrepreneur,divorced,university.degree,0,1,0,1,11,1,0,0,0,-0.1,93.2,-42,4.076,5195.8,252,thu
0,46,admin.,married,university.degree,0,1,0,2,5,1,0,0,0,1.1,93.994,-36.4,4.857,5191,158,tue
0,37,unemployed,single,university.degree,0,1,1,1,11,1,0,0,0,-0.1,93.2,-42,4.153,5195.8,95,tue
1,47,services,single,basic.9y,0,N,N,2,6,3,0,0,0,1.4,94.465,-41.8,4.961,5228.1,835,thu
1,45,admin.,single,university.degree,0,0,0,1,8,1,0,0,0,1.4,93.444,-36.1,4.964,5228.1,505,thu
0,36,blue-collar,married,basic.6y,0,1,0,2,7,1,0,0,0,1.4,93.918,-42.7,4.962,5228.1,16,wed
0,40,unemployed,single,high.school,0,1,0,1,7,5,0,0,0,1.4,93.918,-42.7,4.96,5228.1,300,mon
0,38,blue-collar,married,basic.9y,0,0,0,1,11,2,0,1,2,-0.1,93.2,-42,4.153,5195.8,180,tue
0,44,blue-collar,married,high.school,N,0,0,2,6,2,0,0,0,1.4,94.465,-41.8,4.961,5228.1,390,tue
0,25,self-employed,married,university.degree,0,1,0,2,5,2,0,0,0,1.1,93.994,-36.4,4.857,5191,274,fri
0,30,blue-collar,single,basic.6y,0,1,0,2,7,5,0,0,0,1.4,93.918,-42.7,4.961,5228.1,135,tue
0,43,management,married,professional.course,0,0,0,1,11,2,0,0,0,-0.1,93.2,-42,4.153,5195.8,257,tue
0,58,retired,married,basic.6y,N,0,0,2,5,3,0,0,0,1.1,93.994,-36.4,4.857,5191,268,mon
0,31,technician,married,professional.course,0,1,0,2,5,6,0,0,0,1.1,93.994,-36.4,4.856,5191,157,wed
0,53,management,married,university.degree,0,0,0,1,7,2,0,0,0,1.4,93.918,-42.7,4.961,5228.1,477,tue
0,52,admin.,married,N/A,0,0,0,1,8,1,0,0,0,1.4,93.444,-36.1,4.968,5228.1,91,tue
0,37,management,married,university.degree,N,0,1,1,4,1,0,1,2,-1.8,93.075,-47.1,1.405,5099.1,76,fri
0,58,admin.,married,high.school,N,1,0,1,7,1,0,0,0,1.4,93.918,-42.7,4.961,5228.1,103,tue
0,37,services,married,high.school,0,1,1,1,5,3,0,0,0,-1.8,92.893,-46.2,1.266,5099.1,436,thu
0,38,admin.,single,N/A,0,1,0,1,5,1,0,0,0,-1.8,92.893,-46.2,1.313,5099.1,191,fri
0,33,services,single,basic.9y,0,1,0,1,4,2,0,0,0,-1.8,93.075,-47.1,1.41,5099.1,483,thu
0,45,services,married,high.school,N,1,0,1,5,1,0,0,0,-1.8,92.893,-46.2,1.25,5099.1,250,fri
0,44,entrepreneur,married,professional.course,0,0,0,2,5,1,0,0,0,1.1,93.994,-36.4,4.858,5191,259,mon
0,38,blue-collar,married,basic.6y,0,1,0,2,7,2,0,0,0,1.4,93.918,-42.7,4.966,5228.1,389,thu
0,34,blue-collar,married,basic.9y,0,0,0,2,6,1,0,0,0,-1.7,94.055,-39.8,0.702,4991.6,7,tue
0,47,management,married,university.degree,0,1,0,1,7,1,0,0,0,-2.9,92.469,-33.6,1.029,5076.2,123,wed
0,59,admin.,married,university.degree,0,1,1,1,7,1,0,0,0,-2.9,92.469,-33.6,1.085,5076.2,92,wed
0,51,blue-collar,married,basic.4y,N,1,1,1,8,2,0,0,0,1.4,93.444,-36.1,4.964,5228.1,297,thu
0,31,blue-collar,married,basic.6y,0,1,0,2,6,2,0,0,0,1.4,94.465,-41.8,4.864,5228.1,406,wed
0,56,management,married,university.degree,0,1,1,1,11,1,0,1,2,-0.1,93.2,-42,4.12,5195.8,104,wed
0,39,admin.,married,university.degree,0,0,0,2,6,2,0,0,0,1.4,94.465,-41.8,4.961,5228.1,135,mon
1,41,entrepreneur,married,university.degree,0,1,0,1,11,1,0,0,0,-0.1,93.2,-42,4.153,5195.8,854,tue
0,41,management,divorced,basic.6y,0,1,0,1,11,1,0,0,0,-0.1,93.2,-42,4.076,5195.8,147,thu
0,53,services,married,high.school,N,0,0,2,5,4,0,0,0,1.1,93.994,-36.4,4.86,5191,203,thu
0,35,blue-collar,married,high.school,0,0,1,1,7,4,0,0,0,1.4,93.918,-42.7,4.962,5228.1,149,mon
0,58,retired,married,basic.9y,0,0,1,1,5,1,0,0,0,-1.8,92.893,-46.2,1.334,5099.1,144,wed
0,25,self-employed,married,professional.course,0,1,0,2,6,2,0,0,0,1.4,94.465,-41.8,4.959,5228.1,394,wed
0,35,blue-collar,divorced,basic.9y,0,1,0,1,5,1,0,1,2,-1.8,92.893,-46.2,1.344,5099.1,523,tue
0,28,services,single,high.school,0,0,0,1,7,1,0,0,0,1.4,93.918,-42.7,4.963,5228.1,73,wed
0,55,blue-collar,married,professional.course,0,1,1,1,5,3,0,1,2,-1.8,92.893,-46.2,1.25,5099.1,197,fri
0,54,entrepreneur,married,basic.4y,N,0,1,2,5,1,0,0,0,1.1,93.994,-36.4,4.855,5191,108,thu
0,45,technician,divorced,basic.9y,N,0,0,1,7,2,0,0,0,1.4,93.918,-42.7,4.962,5228.1,80,wed
0,32,blue-collar,married,basic.9y,0,1,0,1,4,1,0,1,2,-1.8,93.075,-47.1,1.41,5099.1,114,thu
0,50,admin.,married,basic.9y,N,1,0,1,8,3,0,0,0,1.4,93.444,-36.1,4.963,5228.1,122,thu
1,75,retired,married,basic.4y,0,0,0,1,4,1,0,1,2,-1.8,93.075,-47.1,1.405,5099.1,109,tue
0,33,self-employed,divorced,N/A,0,0,0,2,5,4,0,0,0,1.1,93.994,-36.4,4.858,5191,1161,wed
0,29,management,married,university.degree,0,0,1,1,8,2,0,0,0,1.4,93.444,-36.1,4.967,5228.1,181,wed
0,45,management,married,university.degree,0,1,0,1,5,1,0,0,0,-1.8,92.893,-46.2,1.327,5099.1,239,thu
1,38,admin.,divorced,university.degree,0,0,0,1,4,1,0,0,0,-1.8,93.075,-47.1,1.392,5099.1,360,mon
0,24,services,single,professional.course,0,1,0,2,5,1,0,0,0,1.1,93.994,-36.4,4.858,5191,314,mon
0,41,technician,married,professional.course,0,1,0,1,8,1,0,0,0,1.4,93.444,-36.1,4.963,5228.1,984,mon
1,58,retired,divorced,high.school,0,1,0,1,6,1,0,0,0,-2.9,92.963,-40.8,1.262,5076.2,663,tue
0,34,admin.,married,university.degree,0,0,1,2,5,2,0,0,0,1.1,93.994,-36.4,4.857,5191,157,wed
0,34,admin.,married,university.degree,0,0,0,1,11,2,0,0,0,-1.1,94.767,-50.8,1.05,4963.6,141,mon
0,37,technician,divorced,professional.course,0,0,0,2,5,1,0,0,0,1.1,93.994,-36.4,4.856,5191,374,wed
1,53,blue-collar,divorced,basic.4y,0,0,0,2,6,1,0,0,0,1.4,94.465,-41.8,4.959,5228.1,706,wed
0,54,technician,divorced,professional.course,0,1,1,1,7,14,0,0,0,1.4,93.918,-42.7,4.961,5228.1,797,tue
0,32,technician,divorced,professional.course,0,1,0,1,11,1,0,0,0,-0.1,93.2,-42,4.153,5195.8,250,tue
0,42,admin.,married,high.school,0,1,0,1,7,6,0,0,0,1.4,93.918,-42.7,4.962,5228.1,311,fri
1,28,technician,single,professional.course,0,1,0,1,8,2,3,1,1,-2.9,92.201,-31.4,0.851,5076.2,63,thu
0,33,services,single,high.school,0,1,0,2,5,1,0,0,0,1.1,93.994,-36.4,4.864,5191,111,fri
0,41,blue-collar,married,basic.9y,0,1,0,1,4,2,0,0,0,-1.8,93.075,-47.1,1.405,5099.1,148,mon
0,31,services,married,high.school,0,0,1,1,11,1,0,0,0,-0.1,93.2,-42,4.076,5195.8,49,thu
0,40,technician,married,basic.9y,N,0,1,2,5,4,0,0,0,1.1,93.994,-36.4,4.86,5191,171,thu
0,53,N/A,married,basic.9y,0,0,1,1,11,1,0,1,2,-3.4,92.649,-30.1,0.716,5017.5,242,wed
0,40,admin.,divorced,university.degree,0,1,0,1,8,1,0,0,0,1.4,93.444,-36.1,4.965,5228.1,257,mon
1,82,housemaid,married,basic.4y,0,0,0,2,9,3,3,2,1,-1.1,94.199,-37.5,0.877,4963.6,279,tue
0,28,blue-collar,married,basic.4y,0,1,0,1,7,1,0,0,0,1.4,93.918,-42.7,4.96,5228.1,113,mon
0,30,admin.,married,high.school,N,1,0,1,11,3,0,0,0,-0.1,93.2,-42,4.12,5195.8,246,wed
1,31,unemployed,single,university.degree,0,1,0,1,7,1,6,3,1,-1.7,94.215,-40.3,0.835,4991.6,309,tue
0,32,technician,single,university.degree,0,1,0,1,8,1,0,0,0,1.4,93.444,-36.1,4.965,5228.1,168,wed
0,54,blue-collar,married,basic.4y,0,1,0,1,8,1,0,0,0,1.4,93.444,-36.1,4.963,5228.1,153,tue
0,31,blue-collar,married,basic.9y,0,0,0,1,7,1,0,0,0,1.4,93.918,-42.7,4.963,5228.1,152,wed
0,50,services,married,N/A,0,1,0,1,8,2,0,0,0,1.4,93.444,-36.1,4.968,5228.1,90,thu
0,47,technician,single,N/A,0,0,0,1,7,2,0,0,0,1.4,93.918,-42.7,4.961,5228.1,117,tue
0,31,admin.,single,high.school,0,1,1,1,5,1,0,0,0,-1.8,92.893,-46.2,1.281,5099.1,149,wed
0,32,unemployed,married,high.school,0,1,0,1,11,1,0,0,0,-0.1,93.2,-42,4.076,5195.8,640,thu
0,46,admin.,single,high.school,0,1,0,1,11,2,0,2,2,-1.1,94.767,-50.8,1.048,4963.6,199,mon
0,47,admin.,single,high.school,0,0,0,1,5,2,0,0,0,-1.8,92.893,-46.2,1.299,5099.1,1114,mon
0,32,admin.,single,high.school,0,0,0,1,11,2,0,2,2,-1.1,94.767,-50.8,1.048,4963.6,74,mon
0,52,services,divorced,high.school,N,0,0,1,11,1,0,0,0,-0.1,93.2,-42,4.191,5195.8,190,mon
1,45,admin.,married,high.school,0,1,0,1,10,3,6,1,1,-1.1,94.601,-49.5,1.029,4963.6,738,fri
0,32,admin.,married,university.degree,0,1,0,1,5,2,0,0,0,-1.8,92.893,-46.2,1.313,5099.1,374,fri
0,71,blue-collar,divorced,basic.4y,N,0,0,1,8,1,0,0,0,-1.7,94.027,-38.3,0.904,4991.6,224,thu
0,49,services,married,high.school,0,1,0,2,5,2,0,0,0,1.1,93.994,-36.4,4.855,5191,344,fri
0,46,admin.,married,high.school,0,1,1,2,6,10,0,0,0,1.4,94.465,-41.8,4.864,5228.1,148,wed
0,46,blue-collar,married,professional.course,0,0,0,1,11,1,0,0,0,-1.1,94.767,-50.8,1.028,4963.6,383,fri
0,38,admin.,married,university.degree,0,1,0,1,8,6,0,0,0,1.4,93.444,-36.1,4.965,5228.1,35,tue
0,57,services,married,professional.course,N,0,0,1,8,2,0,0,0,1.4,93.444,-36.1,4.965,5228.1,153,mon
0,41,services,single,high.school,N,N,N,1,5,2,0,1,2,-1.8,92.893,-46.2,1.299,5099.1,772,mon
0,44,technician,married,professional.course,0,0,0,2,5,3,0,0,0,1.1,93.994,-36.4,4.864,5191,124,fri
0,47,technician,married,university.degree,0,1,0,1,8,7,0,0,0,1.4,93.444,-36.1,4.964,5228.1,345,wed
0,40,blue-collar,married,basic.9y,0,1,1,2,5,2,0,0,0,1.1,93.994,-36.4,4.858,5191,951,wed
0,57,retired,single,professional.course,0,1,0,2,5,1,0,0,0,1.1,93.994,-36.4,4.857,5191,188,mon
1,27,admin.,single,N/A,0,0,0,1,3,1,3,1,1,-1.8,93.369,-34.8,0.637,5008.7,128,tue
1,52,blue-collar,married,basic.9y,0,0,0,1,8,1,0,0,0,1.4,93.444,-36.1,4.966,5228.1,809,fri
0,34,management,married,university.degree,0,1,1,2,6,1,0,0,0,-2.9,92.963,-40.8,1.26,5076.2,192,wed
0,42,entrepreneur,married,university.degree,0,1,0,2,5,1,0,0,0,1.1,93.994,-36.4,4.857,5191,154,tue
0,51,technician,married,N/A,0,1,0,2,6,3,0,0,0,1.4,94.465,-41.8,4.959,5228.1,17,fri
0,45,management,married,basic.4y,N,1,0,2,5,1,0,0,0,1.1,93.994,-36.4,4.855,5191,100,fri
0,56,retired,married,high.school,0,0,0,1,5,1,0,0,0,-1.8,92.893,-46.2,1.244,5099.1,317,mon
0,41,management,married,university.degree,0,1,0,1,5,1,0,0,0,-1.8,92.893,-46.2,1.327,5099.1,93,thu
0,44,admin.,married,high.school,0,1,0,1,8,1,0,0,0,1.4,93.444,-36.1,4.964,5228.1,111,fri
1,50,blue-collar,married,basic.6y,0,1,0,1,5,3,3,1,1,-1.8,92.893,-46.2,1.354,5099.1,293,mon
0,54,self-employed,married,high.school,0,0,0,1,8,3,0,0,0,1.4,93.444,-36.1,4.963,5228.1,119,tue
0,51,blue-collar,married,basic.6y,0,0,0,1,8,1,0,0,0,1.4,93.444,-36.1,4.964,5228.1,393,fri
0,30,blue-collar,single,basic.9y,0,0,0,1,11,1,0,0,0,-0.1,93.2,-42,4.12,5195.8,30,wed
0,42,housemaid,married,basic.4y,N,1,0,2,6,8,0,0,0,1.4,94.465,-41.8,4.959,5228.1,38,fri
0,41,technician,married,professional.course,N,1,0,2,6,11,0,0,0,1.4,94.465,-41.8,4.865,5228.1,442,mon
0,47,services,single,basic.9y,0,0,0,1,11,2,0,0,0,-0.1,93.2,-42,4.153,5195.8,187,tue
0,35,blue-collar,married,basic.6y,0,1,0,1,4,1,0,1,2,-1.8,93.075,-47.1,1.405,5099.1,113,fri
0,58,blue-collar,married,basic.9y,0,0,0,1,11,1,0,1,2,-0.1,93.2,-42,4.153,5195.8,64,tue
1,50,blue-collar,divorced,high.school,0,1,1,1,7,2,0,0,0,1.4,93.918,-42.7,4.96,5228.1,629,mon
0,41,technician,married,professional.course,0,0,0,2,5,1,0,0,0,1.1,93.994,-36.4,4.856,5191,92,tue
0,38,technician,married,university.degree,0,1,0,1,5,1,0,0,0,-1.8,92.893,-46.2,1.334,5099.1,147,wed
0,32,student,single,university.degree,0,0,0,1,11,2,0,0,0,-0.1,93.2,-42,4.076,5195.8,151,thu
0,21,student,single,high.school,0,0,0,1,8,1,0,1,2,-2.9,92.201,-31.4,0.884,5076.2,259,tue
0,46,admin.,divorced,basic.9y,N,0,0,2,5,1,0,0,0,1.1,93.994,-36.4,4.856,5191,423,wed
0,42,self-employed,married,university.degree,0,1,0,1,11,3,0,0,0,-0.1,93.2,-42,4.021,5195.8,888,fri
0,55,services,married,basic.9y,0,0,0,1,8,13,0,0,0,1.4,93.444,-36.1,4.964,5228.1,76,wed
0,29,admin.,single,high.school,0,1,0,2,11,1,6,1,1,-1.1,94.767,-50.8,1.05,4963.6,207,mon
0,30,blue-collar,single,basic.6y,N,1,0,2,6,1,0,0,0,1.4,94.465,-41.8,4.959,5228.1,100,wed
0,53,management,married,basic.4y,0,1,0,1,11,1,0,0,0,-0.1,93.2,-42,4.12,5195.8,63,wed
0,35,management,married,university.degree,0,1,0,1,11,2,0,0,0,-0.1,93.2,-42,4.12,5195.8,265,wed
0,46,services,married,professional.course,0,1,0,2,5,4,0,0,0,1.1,93.994,-36.4,4.856,5191,273,tue
0,30,blue-collar,married,N/A,0,0,0,2,5,2,0,0,0,1.1,93.994,-36.4,4.857,5191,85,wed
0,43,entrepreneur,married,university.degree,N,1,0,1,7,1,0,0,0,1.4,93.918,-42.7,4.961,5228.1,261,tue
0,42,services,married,high.school,N,1,0,1,7,4,0,0,0,1.4,93.918,-42.7,4.96,5228.1,136,mon
0,32,technician,married,professional.course,0,0,0,1,7,1,0,0,0,1.4,93.918,-42.7,4.962,5228.1,711,tue
0,41,blue-collar,divorced,basic.9y,0,1,0,1,5,1,0,1,2,-1.8,92.893,-46.2,1.313,5099.1,88,fri
0,28,admin.,married,university.degree,0,0,0,1,5,3,0,1,2,-1.8,92.893,-46.2,1.291,5099.1,72,tue
0,24,services,single,university.degree,0,0,0,1,7,6,0,0,0,1.4,93.918,-42.7,4.963,5228.1,113,thu
0,43,management,married,university.degree,N,1,1,1,4,1,0,0,0,-1.8,93.075,-47.1,1.405,5099.1,307,fri
0,30,admin.,single,university.degree,0,1,0,1,8,1,0,0,0,1.4,93.444,-36.1,4.97,5228.1,39,mon
0,55,blue-collar,married,basic.9y,N,0,0,1,11,2,0,0,0,-0.1,93.2,-42,4.153,5195.8,63,tue
0,51,retired,married,basic.9y,N,0,0,1,7,1,0,0,0,1.4,93.918,-42.7,4.959,5228.1,64,fri
0,22,student,single,high.school,0,0,1,1,7,2,0,0,0,1.4,93.918,-42.7,4.957,5228.1,154,fri
0,32,entrepreneur,single,university.degree,0,0,1,1,11,1,0,0,0,-0.1,93.2,-42,4.076,5195.8,126,thu
0,43,admin.,married,professional.course,N,0,0,1,7,3,0,0,0,1.4,93.918,-42.7,4.968,5228.1,127,thu
0,39,management,married,basic.6y,N,0,0,2,6,5,0,0,0,1.4,94.465,-41.8,4.865,5228.1,156,mon
0,52,blue-collar,divorced,N/A,0,0,0,1,7,8,0,0,0,1.4,93.918,-42.7,4.961,5228.1,111,tue
0,38,technician,single,professional.course,0,1,0,1,5,3,0,1,2,-1.8,92.893,-46.2,1.244,5099.1,202,mon
0,59,retired,married,basic.4y,0,0,0,2,4,4,0,0,0,-1.8,93.075,-47.1,1.453,5099.1,353,tue
0,31,blue-collar,married,basic.4y,0,1,0,2,5,2,0,0,0,1.1,93.994,-36.4,4.857,5191,159,wed
1,76,retired,single,basic.4y,0,0,0,1,11,4,6,1,1,-3.4,92.649,-30.1,0.715,5017.5,347,mon
